county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
13103,GA,"Effingham, GA",42320,44887,48212,11257,9716,27.72,23.93,64792.0,32234.0,32558.0,4251.0,9071.0,4054.0,47416.0,7693.0,36.2
39123,OH,"Ottawa, OH",54124,57760,61102,9738,7298,31.91,23.92,40361.0,20204.0,20157.0,1695.0,3715.0,1953.0,32998.0,10441.0,49.8
31031,NE,"Cherry, NE",47074,54140,55302,1627,967,40.23,23.91,5458.0,2806.0,2652.0,362.0,636.0,301.0,4159.0,1216.0,42.9
19041,IA,"Clay, IA",50798,54344,59187,4260,2682,37.94,23.89,16380.0,8139.0,8241.0,976.0,1926.0,851.0,12627.0,3487.0,42.1
13223,GA,"Paulding, GA",40700,43662,47381,38686,25685,35.99,23.89,168651.0,82670.0,85981.0,10480.0,22514.0,10821.0,124836.0,18557.0,36.6
55039,WI,"Fond du Lac, WI",49996,53124,56378,23496,17140,32.73,23.88,104144.0,51743.0,52401.0,5466.0,11462.0,5580.0,81636.0,19494.0,41.5
37113,NC,"Macon, NC",41975,45095,48875,8699,6349,32.72,23.88,37016.0,18081.0,18935.0,1787.0,3569.0,1730.0,29930.0,10342.0,49.5
08023,CO,"Costilla, CO",37326,39705,43239,973,663,35.05,23.88,3496.0,1812.0,1684.0,166.0,335.0,173.0,2822.0,923.0,50.0
40145,OK,"Wagoner, OK",43020,45032,47142,19078,13041,34.88,23.84,80997.0,40346.0,40651.0,4676.0,10287.0,4608.0,61426.0,13486.0,39.0
12015,FL,"Charlotte, FL",46707,49052,51677,51694,36727,33.54,23.83,186824.0,91931.0,94893.0,5296.0,11373.0,5506.0,164649.0,75302.0,60.0
05000,AR,"Arkansas, AR",46906,52609,56733,596855,482695,29.45,23.82,,,,,,,,,
23029,ME,"Washington, ME",42051,46891,49280,6739,5505,29.16,23.82,31107.0,15369.0,15738.0,1481.0,3005.0,1465.0,25156.0,7797.0,48.5
56043,WY,"Washakie, WY",51388,57228,60235,2174,1313,39.42,23.81,7685.0,3950.0,3735.0,382.0,855.0,500.0,5948.0,1731.0,43.9
27133,MN,"Rock, MN",48827,56690,57744,2456,1538,38.01,23.8,9703.0,4826.0,4877.0,524.0,1276.0,652.0,7251.0,1934.0,41.2
20179,KS,"Sheridan, KS",46978,56134,56735,645,433,35.46,23.8,2440.0,1243.0,1197.0,139.0,311.0,153.0,1837.0,577.0,42.8
17161,IL,"Rock Island, IL",44142,47999,51429,35335,23410,35.92,23.8,144665.0,71614.0,73051.0,8740.0,16667.0,7383.0,111875.0,28199.0,40.3
37077,NC,"Granville, NC",40074,43069,46504,13343,10103,31.43,23.8,61006.0,31424.0,29582.0,3096.0,6303.0,3313.0,48294.0,10343.0,42.3
31083,NE,"Harlan, NE",57567,63737,66306,1013,565,42.63,23.78,3073.0,1590.0,1483.0,157.0,338.0,152.0,2426.0,835.0,49.5
55111,WI,"Sauk, WI",52788,56206,60631,14904,10646,33.28,23.77,65772.0,32964.0,32808.0,3874.0,7710.0,3494.0,50694.0,12390.0,41.3
31117,NE,"McPherson, NE",51745,67927,63343,146,81,42.82,23.75,399.0,199.0,200.0,12.0,32.0,22.0,333.0,99.0,50.4
31023,NE,"Butler, NE",48773,55051,59717,1826,1315,32.98,23.75,8370.0,4269.0,4101.0,494.0,1023.0,470.0,6383.0,1703.0,42.4
17073,IL,"Henry, IL",45785,50273,54747,11941,8188,34.63,23.75,49289.0,24717.0,24572.0,2583.0,5576.0,2831.0,38299.0,10163.0,43.2
31119,NE,"Madison, NE",51683,55695,60169,8245,5422,36.09,23.74,35588.0,17760.0,17828.0,2547.0,4584.0,1949.0,26508.0,5868.0,37.4
20095,KS,"Kingman, KS",43106,48832,52283,1886,1210,37.0,23.74,7468.0,3798.0,3670.0,404.0,832.0,390.0,5842.0,1549.0,44.3
36117,NY,"Wayne, NY",47651,51428,53499,21331,15166,33.36,23.72,91293.0,45717.0,45576.0,5005.0,9948.0,4656.0,71684.0,17641.0,43.7
20053,KS,"Ellsworth, KS",43841,45169,47749,1625,1067,36.13,23.72,6383.0,3624.0,2759.0,272.0,598.0,236.0,5277.0,1450.0,43.5
